album,title,singer,timespan,lyrics
Emperor of Sand,roots-remain,Troy Sanders,29,  And the sky opened up and it swallowed us whole  All that's left is time and healing underground  Underneath us the cosmic dawn of war begins  We resolve and watch as it all crumbles down  
Emperor of Sand,roots-remain,Brann Dailor,29,  Beauty fades  Deaths decay  Fires on high  Reach the sky  Branches break  Roots remain  Strong in mind  Beauty  
Emperor of Sand,roots-remain,Troy Sanders,31,"  Your adventure is dark and it hides beyond the cells  All I feel alive, the hearts will prevail  The stolen eye was found and given to the lost soul  While the moon sets far and the milestones seem low  "
Emperor of Sand,roots-remain,Brann Dailor,30,  Beauty fades  Deaths decay  Fires on high  Reach the sky  Branches break  Roots remain  Strong in mind  Beauty  
Emperor of Sand,roots-remain,Brann Dailor,64,"  And all that I have come to lose  Gone so long it doesn't matter anyway  And all that I have come to gain  Will remain with me until the bitter end  And when you sit and picture me  Remember sitting in the sun and dancing in the rain  The end is not the end, you see  It's just the recognition of a memory  "
Emperor of Sand,roots-remain,Troy Sanders,19,  The eyes  The face  The lips  The tongue  The end  The end  
Emperor of Sand,scorpion-breath,Troy Sanders,19,"  The elusive mystery  Determined by the stars  The stigma is valid, truth and fear  The fear is real  "
Emperor of Sand,scorpion-breath,Scott Kelly,19,  It will set us free  It took my Pa  I stand in deliverance  Waiting for destruction  In a wake of blood  
Emperor of Sand,scorpion-breath,Troy Sanders,18,  The awakening moment arrives  Returning you at will  The midnight hour prepares for truth  The truth is real  The truth is real  
Emperor of Sand,scorpion-breath,Scott Kelly,24,  It's so far beyond my reach  The crimson mask is rising black  The last setting sun  Will be seen in my dusted mind  
Emperor of Sand,scorpion-breath,Scott Kelly,18, Constantly burying our loves  In the trench of this  Mysterious despair  It leaves us empty  Clawing in  Clawing in  
Emperor of Sand,scorpion-breath,Troy Sanders,18,  The elusive mystery  Determined by the stars  The stigma is valid truth and fear  The fear is real  
Emperor of Sand,scorpion-breath,Scott Kelly,19,  Free us from this feeder  Lead me in deeper  To fulfil this seed that I grew  Into at my birth 
Emperor of Sand,show-yourself,Brann Dailor,29,  Show yourself  Show yourself  I want to see everything you're made of  Tear it down and rip it out  Shed your skin and float it down the river  Lose yourself  Lose yourself  Wild horses ride you through the valley  Come alive  Come alive  Sail into the void without your worries  
Emperor of Sand,show-yourself,Troy Sanders,24,  You're not as safe as far as I can tell  And I can tell  Only you can save yourself  Soon this will all be a distant memory  Or could this dream be real at all? 
Emperor of Sand,show-yourself,Brann Dailor,14,  Stars align  Stars align  Stars can fall and get you into trouble  Be afraid  Don't be afraid  Speak the ancient wisdom of the desert  
Emperor of Sand,show-yourself,Troy Sanders,25,  You're not as safe as far as I can tell  And I can tell  Only you can save yourself  Soon this will all be a distant memory  Or could this dream be real at all? 
Emperor of Sand,show-yourself,Brann Dailor,28,  Show yourself Show yourself  I wanna see everything you're made of  Reveal yourself  Reveal yourself  The truth will send a ripple through your body  See your fate  You'll see your fate  Death will come and steal you from the living  Dead and gone  Dead and gone  I'll see you on the other side of fire 
Emperor of Sand,steambreather,Brann Dailor,20,  Running outside the  Nazca Lines  You know I see you all in white  Hoping you'll grow the fruitful vines  And the rain to give us life  
Emperor of Sand,steambreather,Brann Dailor,22,  Violence born within my mind  I know it always takes its time  Climbing inside the cosmic eye  And forgive the enemy  
Emperor of Sand,steambreather,Brann Dailor,21,  I wonder who I am  Reflections offer nothing  I wonder where I stand  I'm afraid of myself  
Emperor of Sand,steambreather,Troy Sanders,21,  I wonder who I am  Reflections offer nothing  I wonder where I stand  I'm afraid of myself  
Emperor of Sand,steambreather,Brann Dailor,22,  Watching you crumble to the ground  Made me want to run away  Helping you find the golden crown  Made it easier to stay  
Emperor of Sand,steambreather,Brann Dailor,21,  I wonder who I am  Reflections offer nothing  I wonder where I stand  I'm afraid of myself  
Emperor of Sand,steambreather,Troy Sanders,21,  I wonder who I am  Reflections offer nothing  I wonder where I stand  I'm afraid of myself  
Emperor of Sand,steambreather,Brent Hinds,21,  At the bottom of the mountain  Unaware of my surroundings  Separation from my spirit  Let the trees fall where they may  
Emperor of Sand,steambreather,Brann Dailor,21,  I wonder who I am  Reflections offer nothing  I wonder where I stand  I'm afraid of myself 
Emperor of Sand,steambreather,Troy Sanders,21,  I wonder who I am  Reflections offer nothing  I wonder where I stand  I'm afraid of myself 
Emperor of Sand,sultans-curse,Troy Sanders,15,  Tired and lost  No one to trust  Who is there to give the push? All I have learned  Straighten the curve  Like a circle to return  
Emperor of Sand,sultans-curse,Brent Hinds,24,  The long embrace  The smell of dirt and roses  Under the sun  No sign of bread or water  I fall asleep under blankets of stars  
Emperor of Sand,sultans-curse,Troy Sanders,17,  Ice hit you cold  Heat of surprise  Bending mind can't realize  Faith is in me  End I can see  Tears are strong as ten thousand tongues  
Emperor of Sand,sultans-curse,Brent Hinds,33,  My sweet mirage I bathe in sacred waters I kiss the  Sky Floating in Sultans' daughters  Memories of loved ones are passing me by  Memories of loved ones are passing me by  
Emperor of Sand,sultans-curse,Brann Dailor,33,  Oceans of sand and rust  Give way and yield my wake  Oceans of sand and rust  Give way and yield my wake  
Emperor of Sand,sultans-curse,Brann Dailor,33,  They're waiting inside  They're waiting to wash your eyes out  Their hands are alive  Alive with a fervent anger  Your feet have been tied and your tongue in your hand  Death of a thousand ravens  You're down on your knees  You're blind as the  Ancient Kingdom  
Emperor of Sand,sultans-curse,Troy Sanders,15,  Relive the ages of the moon  Reeling the water close to you 
Emperor of Sand,word-to-the-wise,Troy Sanders,72,  Diamond in the wishing well  Falling underneath the spell  Save me from the wicked ways  Pulling me with all its weight  High above the silver line  Flying over burning ground  Ringing bells with golden chains  Resonating with the sound  Siren sounded  I didn't hear it  Travel deep within the mine  Never want to cross the line  Found the one I'd never sell  One I thought I'd never find  Searching through the layers of filth  Feeling where the light is from  Always licking off the bone  Carve a way to our home  Siren sounded  I didn't hear it  Voices warned  I'd not heed it  
Emperor of Sand,word-to-the-wise,Brann Dailor,24,  I fell into a pit of lies  I tried to dig around the other side  And much to my surprise  I was to blame for all the rain  
Emperor of Sand,word-to-the-wise,Brann Dailor,24,  I fell into a pit of lies  I tried to dig around the other side And much to my surprise  I was to blame for all the rain  I was to blame for all the rain 
Hushed and Grim,dagger,Troy Sanders,69, I cannot bare to believe that you have left this Earth  I couldn't stare as they covered you up with dirt and left  With all the best intent  And all your eloquence  The price we paid to know you  Your smile is stretching from the stars  I am still standing here in solace  I sense the writhing  Peeling off your skin  As the coals burn  We'll walk on fire  
Hushed and Grim,dagger,Troy Sanders,33, The lines you carved remain  Too many days to remember  Too many times have I tried  The price we paid to know you  The price we paid to know you  
Hushed and Grim,dagger,Troy Sanders,69, A dark shadow was cast with your departure  Now dig our way out from this mudslide and survive  With all the best intent  And all your eloquence  The price we paid to know you  Projecting light from beyond  We stare until the bruises soften  Never will there  Be another you  As the sun turns  We hold you tighter  
Hushed and Grim,dagger,Troy Sanders,34, The final curtain calls  How many ways you brought pleasure  How many nights you brought to life  The price we paid to know you  The price we paid to know you 
Hushed and Grim,eyes-of-serpents,Troy Sanders,49,  All eyes forward  See what's to be done  Calloused as I am becoming  Less and less of my own  If I burn the bridges  Leaving the ash behind  There's no choice but to move on  Within a heartbeat the dream is dead  
Hushed and Grim,eyes-of-serpents,Brann Dailor,19,  All that I have sacrificed is leaving me and letting go now  I don't want to leave you here alone among the wind and weeping  
Hushed and Grim,eyes-of-serpents,Troy Sanders,51,"  Circles I've broken  Once, they seemed so clear  Leaving the past I buried  Deep in yesteryear  This will bring back memories  That I don't want anymore  Always see reminders  And now I close the door  The illusion is gone, the end is here  "
Hushed and Grim,eyes-of-serpents,Brann Dailor,41,  All that I have sacrificed is leaving me and letting go now  I don't want to leave you here alone among the wind and weeping  If I could crawl beneath the earth and settle with the worms and dirt  I'd steal the eyes of serpents soothing powers from the deep blue sea  
Hushed and Grim,eyes-of-serpents,Troy Sanders,37,"  Is this just our fortune or unexpected fate? A betterment for all  The trials we made are troubling, they smother me  Lay me bare to dry  Begging me to call it quits and go for broke  Bury me as I fall  To treat you as a part of me, it hollows you  The story has to fold "
Hushed and Grim,gigantium,Brann Dailor,29,  I wish I could run forever  Not concerned if I am found  I wish I had all the answers  I wish I knew what went wrong  
Hushed and Grim,gigantium,Troy Sanders,12,  Whatever you say is too late  Speak it before you run  Waiting is just a mistake  
Hushed and Grim,gigantium,Brann Dailor,30,  I just need you to whisper  Tell me all is well  You deserve to be happy  Not stuck knee deep in hell  
Hushed and Grim,gigantium,Troy Sanders,33,"  Whatever you say is too late  Speak it before you run  Waiting is just a mistake  It pains me to see you this way  To erase you is what I fear  You're swimming through my head, it keeps you near  "
Hushed and Grim,gigantium,Troy Sanders,34,"  But all we said was too late  Still, you intend to run  Chasing another mistake It pains me to see you this way  To erase you is what I fear  You're swimming through my head  It keeps you near  "
Hushed and Grim,gigantium,Brann Dailor,66,"  My love, so strong  Washing the dirt away  As the snakes all go to their holes  My love, so strong  Bathing in turpentine  Until the flesh and bone come undone  My love, so strong  Deflecting the thoughts of strangers  To reach the other side  My love, so strong  The mountains we made in the distance  Those will stay with us "
Hushed and Grim,gobblers-of-dregs,Troy Sanders,27,  Long and frayed  Static surrounds us  Break the free fall  Safely land  When man can climb to see  His rejection  Spirit'll burn  Evaporate  
Hushed and Grim,gobblers-of-dregs,Brann Dailor,28,  I left you in the wind  To pull the scraps together  I'm the one who sinned  There's more for me to weather  
Hushed and Grim,gobblers-of-dregs,Troy Sanders,30,  Complications  Of loss and gain  The grace he gave  Is filling the void  How to proceed  With new direction  As photographs  Melt away  
Hushed and Grim,gobblers-of-dregs,Brann Dailor,30,  I left you in the wind  To pull the scraps together  I'm the one who sinned  There's more for me to weather  
Hushed and Grim,gobblers-of-dregs,Brann Dailor,30,  Waiting  For the sun to rise  So I can  Say my last goodbye All that I needed from you was your warm embrace  Turns out that was mine to give  
Hushed and Grim,gobblers-of-dregs,Troy Sanders,23, Fools play into broken plans  Tuned straight from servants' hand  Reaping ill-gotten gains  Bleeding this love away  
Hushed and Grim,gobblers-of-dregs,Brann Dailor,30, Coming home to rescue me  The fate of man resides in empathy  Seems my foundation is shaking and giving way  Look for my hand reaching up from this rubble and clay  
Hushed and Grim,gobblers-of-dregs,Troy Sanders,74, It's too late  My heart's away  It's too late Reborn again  
Hushed and Grim,gobblers-of-dregs,Brann Dailor,31,  I left you in the wind  To pull the scraps together  I'm the one who sinned  There's more for me to weather 
Hushed and Grim,had-it-all,Troy Sanders,20,"  A thousand lights in the night  Alone in the spectrum  On this sand, I find  And realize  "
Hushed and Grim,had-it-all,Troy Sanders,12,  The light will guide you alone  I can position your way  You're gonna make it  
Hushed and Grim,had-it-all,Troy Sanders,79,  Enduring the tireless fight  Death in slow motion  I'm growing tired of this scene  Echoes in your past  The light will guide you alone  I can position your way  You're gonna make it  You had it all  Tomorrow's never fine  The peace we lost in ourselves are never found  You're gonna make it  You had it all  Tomorrow's never fine  The peace we lost in ourselves are never found  You're gonna make it  
Hushed and Grim,had-it-all,Troy Sanders,44,  You had it all  Tomorrow's never fine  The peace we lost in ourselves are never found  You're gonna make it  You had it all  Tomorrow's never fine  The peace we lost in ourselves are never found  You're gonna make it 
Hushed and Grim,more-than-i-could-chew,Brann Dailor,36,  Will there ever be a moment I won't feel this heat coming up from ground? Will there ever be a time when I can show myself through open doors? All I need is you to tell me how to reconcile this guilt and shame  I've already ripped myself to pieces and I've given it away  
Hushed and Grim,more-than-i-could-chew,Troy Sanders,18,  All the weight lies upon my shoulders from  The great disruption  It's hard to breathe inside these waves of doubt  Tidal distraction  
Hushed and Grim,more-than-i-could-chew,Brann Dailor,37,  Can you tell me how to wish away this chaos making my head spin? Can you tell me how to soothe the savage beast locked up inside these walls? Will there ever be a place that I can hide and heal these open sores? Or do I have to cut them out and eat them as my people adore? 
Hushed and Grim,more-than-i-could-chew,Troy Sanders,18,  All the weight lies upon my shoulders from  The great disruption  It's hard to breathe inside these waves of doubt  Tidal distraction  
Hushed and Grim,more-than-i-could-chew,Troy Sanders,39,"  I have, I have lost my way  Reaching, reaching for today  I have, I have lost my way  Reaching, reaching for today  "
Hushed and Grim,more-than-i-could-chew,Brann Dailor,39,"  I have, I have lost my way  Reaching, reaching for today  I have, I have lost my way  Reaching, reaching for today  "
Hushed and Grim,more-than-i-could-chew,Brann Dailor,43,  Say when  And I'll come running back  Say when  And I'll come running back  Say when  And I'll come running back  Say when  And I'll come running back 
Hushed and Grim,pain-with-an-anchor,Brann Dailor,42,"  Oh, my dear  Look what we've done here  My greatest fear  A pain with an anchor  The taste of defeat  Oh, my dear  Look what we've come to  We've shattered serene  "
Hushed and Grim,pain-with-an-anchor,Troy Sanders,20,  I've turned the grief to medicine  Into my mouth will enter  The hardest pill  I've ever had to swallow down  As karma whispers  
Hushed and Grim,pain-with-an-anchor,Brann Dailor,27,"  Oh, my dear  The damage is done here I disappear  A love with no anchor  In the depths of the sea  "
Hushed and Grim,pain-with-an-anchor,Troy Sanders,20,  I've turned the grief to medicine  Into my mouth will enter  The hardest pill  I've ever had to swallow down  As karma whispers 
Hushed and Grim,peace-and-tranquility,Brent Hinds,21,"  The night I went under  And there was no one around  Nothing to swim to  Not the sky, not the ground  I heard you speak to me  And said to just go down  "
Hushed and Grim,peace-and-tranquility,Brann Dailor,19,  Swept away  In peaceful tranquility  I wish that I could stay  
Hushed and Grim,peace-and-tranquility,Brent Hinds,11,  And I keep on waiting  For someone to save me  I keep waiting for someone to ask me What is your name? 
Hushed and Grim,peace-and-tranquility,Brann Dailor,17,  Swept away  In peaceful tranquility  I wish that I could stay  
Hushed and Grim,peace-and-tranquility,Troy Sanders,27,  I've seen worse before  I've had trouble breathing  I've had scrapes and scars Healing from lacerations  Bending from days on end  I get up and walk away  
Hushed and Grim,peace-and-tranquility,Brann Dailor,-48,"  Through all the lies I told before  Well, now, they've all come true Never mind this screaming in the cold  "
Hushed and Grim,peace-and-tranquility,Brann Dailor,79, And when I caught a glimpse of you  You were laughing at me and looking away  And I did everything I could  To try to get you to stay  
Hushed and Grim,peace-and-tranquility,Brent Hinds,13,  I pass through dimensions  And leaving this plane  Turning into the ether  It changes everything  
Hushed and Grim,peace-and-tranquility,Brann Dailor,19, Swept away  In peaceful tranquility  I wish that I could stay  
Hushed and Grim,peace-and-tranquility,Troy Sanders,26,  I can't hear at all  I've had trouble speaking  Will this heal my heart? Relive the never-ending  Bending for days on end  I'll get up and walk away 
Hushed and Grim,pushing-the-tides,Troy Sanders,17,  I think I'm ready to start  I thought I heard you scream  We're all part of this fucked up devastation (Go) Always spinning the wheels  A greater vision in sight  It's not failure if you're trying  
Hushed and Grim,pushing-the-tides,Troy Sanders,17,  Another prick of a thorn  The body reaches deep  As I choke the situation  Seeming clever and wise  Clouded beyond the dark cells  I know not what drips inside me  
Hushed and Grim,pushing-the-tides,Brann Dailor,17,  Pushing the tides  Trying not to go down and taken under  Pushing the tides  Try to keep my head above the water  
Hushed and Grim,pushing-the-tides,Troy Sanders,18, (Go) You try untying the weight  And you continue to breathe  I remove you for protection  And where to go from here  A place you value the most  Such a brilliant realization  
Hushed and Grim,pushing-the-tides,Brann Dailor,22,  Pushing the tides  Trying not to go down and taken under  Pushing the tides  Try to keep my head above the water  Pushing the tides  Leading us to prevail  
Hushed and Grim,pushing-the-tides,Troy Sanders,2, And all we desire  
Hushed and Grim,pushing-the-tides,Brann Dailor,7, Pushing the tides  With every ounce of strength I have 
Hushed and Grim,savage-lands,Brann Dailor,23,  Running from an endless source of everlasting light  Stumble into darkness of my own creation  Navigate this maze of self-destruction's inner glow  Worship at the feet of primal gods of chaos  
Hushed and Grim,savage-lands,Troy Sanders,32,  The walls we create  The cracks will begin to show  And watch them start to fall  All is indefinite  How quickly we evaporate  To memories and only dreams  As the seismic shifts  Veering into unknown space  Where monuments will bare your name  
Hushed and Grim,savage-lands,Brann Dailor,22,  Drinking from reflections in the pool of endless doubt  Continue on the path of reckless devastation  In the pit of death and bones and carcasses decayed  It's here I find a guiding hand to true salvation  
Hushed and Grim,savage-lands,Troy Sanders,57,"  Push through the pain  Developing calloused hands  To dig, scrape and claw  Thought and visions stick  The images, how they still burn  Cementing of your legacy  Now it's flooding back  Trigger the unlocking fate  To wash away and letting free Dredging the weight  Dragging through hollow ground  To break the chain of lies' Round and 'round, we battle ourselves  Silencing our tongues "
Hushed and Grim,sickle-and-peace,Troy Sanders,29,  Please excuse the madness  Of the situation I am in  Are we reunited? For we both share the cause of this  
Hushed and Grim,sickle-and-peace,Troy Sanders,31,  You choose to apply logic  It's hard to ply where there is none  My destination's unknown  Allow the man to walk in his shoes from here  
Hushed and Grim,sickle-and-peace,Brann Dailor,22,  Death comes and brings with him sickle and peace  Shelter from storms come with long flowing robes  
Hushed and Grim,sickle-and-peace,Troy Sanders,30,  Justifying all your control  I cease to mourn what never could be  No feeling's ever final  Just another scar I wear and hold dear  
Hushed and Grim,sickle-and-peace,Brann Dailor,21,  Death comes and brings with him sickle and peace  Shelter from storms come with long flowing robes  
Hushed and Grim,sickle-and-peace,Troy Sanders,22,  Falling down and losing ground  Save me from myself  All I've seen and all I know I've not been this low  
Hushed and Grim,sickle-and-peace,Troy Sanders,22,  Now I stand up on my own  Learning from myself  Where I've been and where I'll go Still remains unknown  
Hushed and Grim,sickle-and-peace,Brann Dailor,21,  Death comes and brings with him sickle and peace  Shelter from storms come with long flowing robes 
Hushed and Grim,skeleton-of-splendor,Troy Sanders,47,"  You reached two hands outward  Two birds spreading our wings  Today's arms turn numb  When I turn it inward  We live and breathe all your thousand words  Now you sleep, we'll finish your work  "
Hushed and Grim,skeleton-of-splendor,Troy Sanders,29,  To my detriment  To my detriment  To my detriment (I forge ahead unscarred) To my detriment  
Hushed and Grim,skeleton-of-splendor,Brann Dailor,29,  To my detriment  To my detriment  To my detriment (I forge ahead unscarred) To my detriment  
Hushed and Grim,skeleton-of-splendor,Troy Sanders,64,"  You painted us with effort  Always praising us high  The day has come to face the storm  As lightning strikes me in two  We live the dream onward as it were  Endless days we'll carry on as one  There's no doubt of what we're her to do  You laid it out, a promise of yourself  "
Hushed and Grim,skeleton-of-splendor,Troy Sanders,25,  To my detriment  To my detriment (I forge ahead unscarred) To my detriment (I forge ahead unscarred) To my detriment  
Hushed and Grim,skeleton-of-splendor,Brann Dailor,25,  To my detriment  To my detriment (I forge ahead unscarred) To my detriment (I forge ahead unscarred) To my detriment  
Hushed and Grim,skeleton-of-splendor,Troy Sanders,26,  To my detriment (I forge ahead unscarred) To my detriment (I forge ahead unscarred) To my detriment (I forge ahead unscarred) To my detriment 
Hushed and Grim,skeleton-of-splendor,Brann Dailor,26,  To my detriment (I forge ahead unscarred) To my detriment (I forge ahead unscarred) To my detriment (I forge ahead unscarred) To my detriment 
Hushed and Grim,teardrinker,Brann Dailor,29, Within a bruised heart I'll just say when  Just one time before  It will come again  Little voice inside  Inside my head  Tell me when it's time to turn around again  
Hushed and Grim,teardrinker,Troy Sanders,5, All appears to fade away  
Hushed and Grim,teardrinker,Brann Dailor,28,  I can see your face  And I feel the pain  And I feel the shame that I have let you down again  People everywhere  Not a drop to drink  Not a dare to think about the damage I have done  
Hushed and Grim,teardrinker,Brann Dailor,29, Try to give up what weighs  What weighs you down  The only control you have  Is all your own  Do I fit the pieces  Together again  Or do I leave them lying on the floor? 
Hushed and Grim,teardrinker,Troy Sanders,4,  All appears to fade away  
Hushed and Grim,teardrinker,Brann Dailor,30,  I can see your face  And I feel the pain  And I feel the shame that I have let you down again  People everywhere  Not a drop to drink  Not a dare to think about the damage I have done  
Hushed and Grim,teardrinker,Troy Sanders,32,  Leaving you behind  Is the hardest thing  I've done  Asking where did I go wrong? I wonder what all of this makes  Does fortune favor the bold? I only know that leaving you  Was the hardest thing  To cut and run  
Hushed and Grim,teardrinker,Brann Dailor,32,  Leaving you behind  Is the hardest thing  I've done  Asking where did I go wrong? I wonder what all of this makes  Does fortune favor the bold? I only know that leaving you  Was the hardest thing  To cut and run  
Hushed and Grim,teardrinker,Brann Dailor,28,  I can see your face  And I feel the pain And I feel the shame that I have let you down again  People everywhere  Not a drop to drink  Not a dare to think about the damage I have done 
Hushed and Grim,the-beast,Brent Hinds,33, I'm out of my mind  Pictures of past lives  Trapped in a memory  In fragments of time  The way things used to be  Find a better way to get back home  Reaching for something new  That's just not there anymore 'cause you know that it's gone  
Hushed and Grim,the-beast,Brent Hinds,31," You slip away to the distance  Pass a crack of light in the floor  I hear the sound of mischief  As the promising light shines some more  I paid you in fool's gold, and I don't owe you anymore  And I deserve nothing I find like a mountain of pain on the floor  "
Hushed and Grim,the-beast,Brann Dailor,27, Losing ground  Taken by a prophecy  Siren sounds  Calling for your sanctity  Wipe away  The blood from your face  
Hushed and Grim,the-beast,Troy Sanders,15, All I see is our demise  Headed for the blackened skies  And I need more time  
Hushed and Grim,the-beast,Brann Dailor,50, I still hear  The beast is breathing  Should I fall  Upon my sword? Make sure they know  That I fought for them  Make sure they know  They know I tried  I scraped and clawed  I gave my all  
Hushed and Grim,the-beast,Brent Hinds,46," Stars in the distance  Oh, how they tell a story of my life  And tell us to beware  Repeating the past  Nature is nocturnal and that is that  I spend my days underground covered in ash and smothered in dirt  And you know how it hurts this little clown  Pay no attention to the sound of the beast 'Cause you know it can't hurt you when you're with me "
Hushed and Grim,the-crux,Troy Sanders,34,  Another sinking stone  Finds its way down below  Resurface when only light will ever show  And while I progress slow  I'm soon to surpass you  Entitled to all possessions I have adored  I feel pressure  I feel the pressure  
Hushed and Grim,the-crux,Troy Sanders,35,  And all the faded bones  Piling up high and low  Returning to life once you can stand alone  Don't get too close this time  The depths of love haunt you  It's dark inside where all my demons hide  I feel pressure  I feel the pressure  
Hushed and Grim,the-crux,Troy Sanders,48,"  Waiting with patience of eons  Your presence fades into a memory  Underneath a cloud of silence, you journey into the rift  Will time defy the weight of you leaving us? "
Hushed and Grim,the-crux,Troy Sanders,21,  I feel pressure  I feel the pressure  Hold aggression  Hold aggression 
Leviathan,aqua-dementia,Brent Hinds,13, An invitation to clairvoyance It's hard to stand around and watch while they ignore us She is dumped on Used as an ashtray At the expense of an organized association 
Leviathan,aqua-dementia,Scott Kelly,4, I see the stones in the path we laid 
Leviathan,aqua-dementia,Brent Hinds,7, It's a question of tomorrow We like to breathe the ancient wind that we have followed 
Leviathan,aqua-dementia,Scott Kelly,4, A perfect fire to burn the land 
Leviathan,aqua-dementia,Brent Hinds,8, Before they knew it The sun had fallen Boiling the water where the hydra's crawling 
Leviathan,aqua-dementia,Scott Kelly,8, The righteous go in blazing fury 
Leviathan,aqua-dementia,Scott Kelly,6, And we cleanse the earth to bring it down 
Leviathan,aqua-dementia,Guest,2, Bring it down 
Leviathan,aqua-dementia,Scott Kelly,36, And God will watch it burn Releasing souls Within the wrath we wait To be dirt again 
Leviathan,aqua-dementia,Scott Kelly,23, There is a flame I lit I upon high 
Leviathan,blood-and-thunder,Troy Sanders,20, I think that someone is trying to kill me Infecting my blood and destroying my mind No man of the flesh could ever stop me The fight for this fish is a fight to the death 
Leviathan,blood-and-thunder,Troy Sanders,3, White whale - holy grail 
Leviathan,blood-and-thunder,Troy Sanders,4, White whale - holy grail 
Leviathan,blood-and-thunder,Troy Sanders,17, What remorseless emperor commands me I no longer govern my soul I am completely immersed in darkness As I turn my body away from the sun 
Leviathan,blood-and-thunder,Troy Sanders,6, White whale - holy grail 
Leviathan,blood-and-thunder,Troy Sanders,5, White whale - holy grail 
Leviathan,blood-and-thunder,Troy Sanders,40, Split your lungs with blood and thunder When you see the white whale Break your backs and crack your oars men If you wish to prevail This ivory leg is what propels me Harpoons thrust in the sky Aim directly for his crooked brow And look him straight in the eye 
Leviathan,blood-and-thunder,Troy Sanders,5, White whale - holy grail 
Leviathan,blood-and-thunder,Troy Sanders,5, White whale - holy grail 
Leviathan,hearts-alive,Troy Sanders,11, Taken down with hearts alive Our hearts alive 
Leviathan,hearts-alive,Troy Sanders,18, Lurking dark underground Descend to the bottom Swim below eternally Into the deep blue sea 
Leviathan,hearts-alive,Troy Sanders,18, Time and space All alone It can be a lonely place There it goes Opening up I can't stand I can't breathe 
Leviathan,hearts-alive,Troy Sanders,12, Rolled fin out Oil stripped Hold is filled 
Leviathan,hearts-alive,Troy Sanders,20, Ocean coil Water boils He swims to the surface Flame from mouth Smoke he breathes Enter the caverns of the deep 
Leviathan,hearts-alive,Troy Sanders,18, Time and space All alone It can be a lonely place There it goes Opening up I can't stand I can't breathe 
Leviathan,hearts-alive,Troy Sanders,21, Terrified Ghastly cry Spiraled lives Taken down Taken down 
Leviathan,hearts-alive,Troy Sanders,21, The iron side Bucket of lead Battle is she Not for defeat 
Leviathan,hearts-alive,Troy Sanders,13, The iron side Bucket of lead Battle is she 
Leviathan,i-am-ahab,Troy Sanders,34, There's magic in the water that attracts all men Across hills and down streams The turning of the tide 
Leviathan,i-am-ahab,Troy Sanders,16, Outlook Future bright Selfish Beauty shines 
Leviathan,i-am-ahab,Troy Sanders,2, Light cloud rain drive on 
Leviathan,i-am-ahab,Troy Sanders,18," 13 years to this day red planet aligned Into sight 60,000 years of light Fascination with a mountain put to sea Built to slay and conquer All with teeth of beasts "
Leviathan,iron-tusk,Troy Sanders,14, Straight line Feel it burst liver and lung Long and strong 'Til she spills her black blood 
Leviathan,iron-tusk,Troy Sanders,15, Center down Vast the head body and tail Shatter life Physeter catodon 
Leviathan,iron-tusk,Troy Sanders,13, Culture vulture Elephant graveyard 
Leviathan,iron-tusk,Brent Hinds,13, Culture vulture Elephant graveyard 
Leviathan,iron-tusk,Troy Sanders,4, Culture vulture 
Leviathan,iron-tusk,Brent Hinds,4, Culture vulture 
Leviathan,iron-tusk,Troy Sanders,19, Engage monster Wreaking vengeance Assault with all martial rage 
Leviathan,iron-tusk,Brent Hinds,19, Engage monster Wreaking vengeance Assault with all martial rage 
Leviathan,iron-tusk,Troy Sanders,2, Sail on 
Leviathan,iron-tusk,Brent Hinds,2, Sail on 
Leviathan,island,Brent Hinds,16, Given decision to live Not taken The flight towards the light I'll stay in the lava for life Erupting when gods take us all Changing the peaks makes us pour From the mountain and burn The path of our time 
Leviathan,island,Troy Sanders,24, Hail people of Iceland Journey of a land anew Ram as our liaison Vision inspire and move Awe holy island Breed the lagoon to run free Raw beauty is ruthless within the golden ring 
Leviathan,island,Troy Sanders,11, Precision of Grungir Spear of the Norse God Odin Praise our Pagan Father Founder of the Althing 
Leviathan,island,Brent Hinds,16, Given decision to live Not taken The flight towards the light I'll stay in the lava for life Erupting when gods take us all Changing the peaks makes us pour From the mountain and burn The path of our time 
Leviathan,island,Troy Sanders,13, Ruler of sky's thunder The honourable warrior All divination Beward the Hammer of Thor 
Leviathan,island,Troy Sanders,15, Lava goddess Ice and fire Settling down Ocean Geysir Gullfoss Heimaey '73 
Leviathan,megalodon,Troy Sanders,32, Myth or legend Nymph tale washed ashore Near the kraken sleepeth stirs coral and bone Infinite city No sexy sneer Hideous creation Human and animal Banter songs of rudeness to be adhered Not on rocks that glisten Harps to listen Comb hair Tear right to pieces Left to recess a watery grave 
Leviathan,megalodon,Troy Sanders,3, Sensing the blood of prey 
Leviathan,megalodon,Troy Sanders,25, Swimming in fear for life Rolling over Falling into jaws Teeth that chatter It distracts them all The Fiji mermaid She will let it know Time is coming to feed and knaw 
Leviathan,megalodon,Troy Sanders,18, Rolling over Falling into jaws Teeth that chatter It distracts them all The Fiji mermaid She will let it know Time is coming to feed and knaw 
Leviathan,naked-burn,Brent Hinds,20, Angels dancing with a mortal a sin A giant born within a woman's womb Nephilim walking through the forest breaking limbs As we bow and give respect to the gods 
Leviathan,naked-burn,Brent Hinds,19, Save yourself Don't wait on me 
Leviathan,naked-burn,Troy Sanders,4, My feet are sewn Endless bottom 
